text_id,register,language,text
cur_sho_002,shout,en,Goal! An absolute screamer from thirty yards out! Unbelievable!
cur_sho_003,shout,en,"Fire! Everybody out through the back exit, now! Leave your bags!"
cur_sho_004,shout,en,Last call for the number nine bus! Doors are closing!
cur_sho_005,shout,en,"Cut! That was perfect! Everybody take five, we got the shot!"
cur_sho_006,shout,en,"Hot soup coming through! Clear the hallway, people!"
cur_sho_007,shout,en,And the crowd goes absolutely wild as she crosses the finish line!
cur_sho_008,shout,en,Hey! That's my bike! Somebody stop that guy!
cur_sho_009,shout,en,"Three! Two! One! Happy New Year, everybody!"
cur_sho_010,shout,en,Timber! Everyone stand clear of the drop zone!
cur_sho_014,shout,en,Touchdown! Forty-seven seconds left and they take the lead!
cur_sho_015,shout,en,Everybody freeze! Nobody touches the evidence until forensics arrives!
cur_num_001,numbers,en,"Your confirmation number is 4 7 Q 9 2 X, and your flight departs at 6:45 a.m. from gate B12."
cur_num_002,numbers,en,"The total comes to $1,247.83, which includes the 8.25 percent sales tax."
cur_num_003,numbers,en,"Please call us back at 555-0192, extension 4406, between 9 and 5 Eastern."
cur_num_004,numbers,en,"The meeting moved from March 3rd, 2026 to Tuesday, April 14th at 11:30 a.m."
cur_num_005,numbers,en,"Take Interstate 95 South for 12.4 miles, then exit 23B toward Route 1."
cur_num_006,numbers,en,Your account ending in 7733 was charged $89.99 on February 28th.
cur_num_007,numbers,en,"The recipe calls for 350 grams of flour, 2 teaspoons of baking soda, and 175 milliliters of milk."
cur_num_008,numbers,en,"Send the report to operations at example dot com by 5 p.m. Friday, copying H.R. and I.T."
cur_num_009,numbers,en,The CEO of NASA met with UNESCO and the WHO about the 2030 initiative.
cur_num_010,numbers,en,"Apartment 4C, 1872 North Maplewood Avenue, Springfield, Illinois, 62704."
cur_num_011,numbers,en,"Quarterly revenue grew 23.7 percent year over year, reaching 4.2 billion dollars."
cur_num_012,numbers,en,"The password is capital R, lowercase x, 7, 7, dollar sign, lowercase q, 9."
cur_num_016,numbers,en,"Model X-200 ships in SKU batches of 144, with lead times of 6 to 8 weeks."
cur_num_017,numbers,en,"GDP contracted 0.3 percent in Q4, while unemployment held at 4.1 percent."
cur_num_018,numbers,en,"Dosage is 200 milligrams twice daily for 10 days, with food, not exceeding 1.2 grams per day."
cur_dis_001,disfluent,en,"So, um, I was thinking—well, actually, never mind, it's—okay no, hear me out."
cur_dis_002,disfluent,en,"The thing is, like, we never actually—I mean, did anyone even read the contract?"
cur_dis_003,disfluent,en,"Yeah no, I get it, I get it, but—okay so here's the—here's my problem with that."
cur_dis_004,disfluent,en,"It was, uh, Tuesday? No wait, Wednesday, because that's when the, um, the inspection happened."
cur_dis_005,disfluent,en,"I don't—look, it's not that I don't trust him, it's just, you know, after last time."
cur_dis_006,disfluent,en,"Can you—sorry, can you just—just give me one second, my laptop is doing the thing again."
cur_dis_007,disfluent,en,"We should probably, I don't know, maybe ask someone who actually, like, knows tax law?"
cur_dis_008,disfluent,en,"And then he goes—you're not gonna believe this—he goes, 'that was never in the budget.'"
cur_dis_009,disfluent,en,Honestly it's—hmm. How do I put this. It's complicated. Really complicated.
cur_dis_010,disfluent,en,"Right, so, um, quick update: the, uh, the shipment is—okay there's no good way to say this."
cur_dis_014,disfluent,en,"No yeah, totally, one hundred percent—wait, are we talking about the same Jennifer?"
cur_dis_015,disfluent,en,I mean—okay. Deep breath. Let me try to explain this without losing my mind.
cur_que_001,question,en,Did you remember to lock the back door before we left this morning?
cur_que_002,question,en,What time does the pharmacy on Fifth Street close on Sundays?
cur_que_003,question,en,Why would anyone schedule a dentist appointment at seven in the morning?
cur_que_004,question,en,"Have you ever actually read the terms and conditions? Like, all of them?"
cur_que_005,question,en,Is it supposed to make that clicking noise when I turn the key?
cur_que_006,question,en,Who ate the last slice of pizza and put the empty box back in the fridge?
cur_que_007,question,en,"Could you pass me the smaller screwdriver? No, the other one. The Phillips."
cur_que_008,question,en,How long has that light on the dashboard been blinking like that?
cur_que_009,question,en,Turn it off and on again. Did that fix it? Sometimes that fixes it.
cur_que_010,question,en,"Take the second left after the bridge, then follow the gravel road to the end."
cur_que_011,question,en,"Don't forget your umbrella. And text me when you land, okay?"
cur_que_012,question,en,Remember to water the plants while I'm gone. The ferns need it every other day.
cur_twi_001,dense,en,"She sells seashells by the seashore, but the shells she sells are surely seashells."
cur_twi_002,dense,en,"The sixth sick sheikh's sixth sheep is sick, said the Swiss wristwatch specialist."
cur_twi_003,dense,en,Peter Piper picked a peck of pickled peppers while properly preparing pungent paprika.
cur_twi_004,dense,en,Truly rural jurors heard purple parallelograms were strictly structural.
cur_twi_005,dense,en,"Brisk brave brigadiers brandished broad bright blades, blunderbusses, and bludgeons."
cur_twi_006,dense,en,The thirty-three thieves thought they thrilled the throne throughout Thursday.
cur_twi_007,dense,en,Eleven benevolent elephants delivered twelve developmental anniversaries.
cur_twi_008,dense,en,Specifically Pacific specifics: statistics suggest the statisticians' statistics stick.
cur_lng_001,longform,en,"Good evening. Our top story tonight: the city council voted seven to two this afternoon to approve the riverfront redevelopment plan, ending a debate that has stretched on for nearly three years. The project will convert the old textile mill district into a mixed-use neighborhood with about twelve hundred apartments, a public market, and a riverside path connecting downtown to the eastern parks. Supporters say it will bring thousands of construction jobs and new tax revenue. Opponents, including several long-time residents who spoke at tonight's meeting, worry about rising rents and the loss of the district's industrial character. Construction is expected to begin in the spring."
cur_lng_002,longform,en,"Okay, welcome back everyone. Before the break we were talking about habit formation, and I want to pick up on something you said about morning routines, because I think people underestimate how much friction matters. When my alarm goes off, if my running shoes are not literally next to the bed, the probability that I go for that run drops by half. It sounds ridiculous, but the research backs this up: tiny obstacles compound. So my question for you is, when you work with clients who say they have no willpower, where do you actually start? Do you start with the environment, or do you start with the story they tell themselves about who they are?"
cur_lng_003,longform,en,"Alright team, quick recap of where we landed today. First, the migration to the new billing system slips two weeks; Dana's group found an edge case with annual subscriptions that refund mid-cycle, and we are not shipping until that's fixed. Second, customer support headcount: approved, two new hires starting next month, both remote. Third, the office move. I know everyone has opinions about the fourth floor. The lease isn't signed yet, so if you have genuine accessibility concerns, get them to me in writing by Friday. And finally, the holiday party is December twelfth. Yes, there will be a karaoke machine again. No, Kevin, you cannot do forty-five minutes of Bon Jovi."
cur_lng_004,longform,en,"To make the dough, start by warming the milk until it feels just slightly above body temperature, then whisk in the yeast and a tablespoon of the sugar and let it stand for about ten minutes until it looks foamy. In a large bowl, combine the flour, the remaining sugar, and the salt. Pour in the yeast mixture, the melted butter, and both eggs, and stir until a shaggy dough forms. Turn it out onto a floured counter and knead for eight to ten minutes. It should feel smooth and slightly tacky, but not sticky. Place it in an oiled bowl, cover it with a damp towel, and let it rise somewhere warm for about an hour, until it has doubled."
cur_lng_005,longform,en,"The strange thing about the lighthouse was not that it still worked, but that nobody in town could say who maintained it. Every evening at dusk the lamp would stutter twice and then settle into its slow, patient sweep across the bay, and every morning it went dark without ceremony. Children claimed an old keeper lived in the round room at the top, though no boat ever brought supplies and no light ever showed in the keeper's window. When the historical society finally forced the door one October, they found the stairs swept clean, a kettle still warm on the stove, and one hundred and forty years of logbooks, the last entry dated that very morning, written in a careful hand: weather fair, all lamps trimmed, nothing to report."
cur_tag_001,grok_tags,en,"[sigh] Fine. I'll do the dishes. Again. <whisper>Third night in a row, but who's counting.</whisper>"
cur_tag_002,grok_tags,en,"[laugh] Stop it, stop it, you're going to make me drop the cake! [laugh] Okay okay, hold still."
cur_tag_003,grok_tags,en,So I opened the email and [gasp] they accepted the proposal! [laugh] All of it! Even the budget!
cur_tag_004,grok_tags,en,[yawn] What time is it? [pause] You're kidding. We've been driving for eleven hours?
cur_tag_005,grok_tags,en,"He said, [um] he said the package would arrive Tuesday. [sigh] It is now Friday."
cur_tag_006,grok_tags,en,[inhale] Okay. Big presentation. You've got this. [exhale] <soft>You've absolutely got this.</soft>
cur_tag_007,grok_tags,en,<slow>Read the instructions carefully before you begin.</slow> [pause] <fast>Then ignore them like everyone else does.</fast>
cur_tag_008,grok_tags,en,"[cough] Sorry, excuse me. [pause] As I was saying, the quarterly numbers look, [um], optimistic."
cur_tag_009,grok_tags,en,"<singing>Happy birthday to you, happy birthday to you</singing> [laugh] come on, everybody sing!"
cur_tag_010,grok_tags,en,"[sniff] No, I'm fine, really. [pause] It's just allergies. <soft>It's not about the movie.</soft>"
cur_tag_011,grok_tags,en,"<pitch_high>And then the little mouse said, not me!</pitch_high> [pause] <pitch_low>But the old bear knew better.</pitch_low>"
cur_tag_012,grok_tags,en,[laugh] Wait wait wait. [pause] You put the keys in the freezer? <loud>The freezer?!</loud>
cur_tag_013,grok_tags,en,[sigh] Customer service said to restart it. [pause] [um] We've restarted it nine times.
cur_tag_014,grok_tags,en,<whisper>The meeting could have been an email.</whisper> [pause] It's always an email.
cur_tag_015,grok_tags,en,[gasp] The cookies! [long-pause] [sigh] Well. We're buying dessert this year.
cur_sng_001,singing,en,"<singing>Row, row, row your boat, gently down the stream, merrily merrily merrily merrily, life is but a dream.</singing>"
cur_sng_002,singing,en,"<singing>Twinkle twinkle little star, how I wonder what you are, up above the world so high.</singing>"
cur_sng_003,singing,en,"<singing>Oh my darling, oh my darling, oh my darling Clementine.</singing>"
