text_id,register,language,origin,chars,text
h_common_voice_5f21aafad877,read,en,common_voice,70,"Teaching units at this University were originally called ""department""."
h_common_voice_699f672986f2,read,en,common_voice,64,"Because she is diabetic, a low-carbohydrate diet is recommended."
h_common_voice_f25d277a170b,read,en,common_voice,53,"It spoke of journeys, discoveries, books, and change."
h_common_voice_c642f0dcfc4e,read,en,common_voice,59,"Many languages are spoken in Tanzania, one of them is Zulu."
h_common_voice_0416d2ca3fb1,read,en,common_voice,47,Alexander was married to James Frost Alexander.
h_common_voice_8306d7c04fda,read,en,common_voice,83,This leads Batman and Gordon to conclude that Dent was Holiday since the beginning.
h_common_voice_66b1042f202e,read,en,common_voice,84,"The park, which is Virginia's most visited state park, is nestled in Virginia Beach."
h_common_voice_1e102794880c,read,en,common_voice,94,"Speedbird niner, turn left heading two seven zero, climb and maintain flight level three five."
h_common_voice_de7bf230d194,read,en,common_voice,43,"At Pisa, Varchi studied to become a notary."
h_common_voice_6f1398a3a39f,read,en,common_voice,75,"Suicide, then, also must be rejected: without man, the absurd cannot exist."
h_common_voice_bbf3db29495b,read,en,common_voice,60,"Helpem Fren means ""help a friend"" in Solomon Islands Pidgin."
h_common_voice_c49d32c993d8,read,en,common_voice,41,You need to recognize what you don't know
h_common_voice_a85547a61566,read,en,common_voice,55,It is based on the height of a man with his arm raised.
h_common_voice_bb1d05ffbe69,read,en,common_voice,71,"Female and juvenile plumages are similar, but duller and less streaked."
h_common_voice_2733393795cb,read,en,common_voice,62,"Nigra was born at Villa Castelnuovo, in the province of Turin."
h_common_voice_c9d3a78289c1,read,en,common_voice,88,The Franks were successful at Tolbiac and established their dominance over the Alamanni.
h_common_voice_227648d711b1,read,en,common_voice,44,His position of choice is Blindside flanker.
h_common_voice_d4bcc2be844b,read,en,common_voice,49,The property has a lot of space; what's its size?
h_common_voice_7052e0b0e71b,read,en,common_voice,52,I dreamed I was walking through a fine rich country.
h_common_voice_d60e8269f5ee,read,en,common_voice,85,Their music makes use of thrash metal riffing and heavy hardcore stylised breakdowns.
h_common_voice_1385a9dd7d66,read,en,common_voice,69,Hold your nose to keep the smell from disabling your motor functions.
h_common_voice_7a5a1fe1c27a,read,en,common_voice,85,"Moscoso Rodriguez attended to his pharmacy, which was located in the center of Ponce."
h_common_voice_e95636b2e41b,read,en,common_voice,64,"Tadpoles are eaten by fish, beetles, dragonfly larvae and birds."
h_common_voice_907001910bd1,read,en,common_voice,50,The three groups are not believed to form a clade.
h_common_voice_5dfd878a117c,read,en,common_voice,61,The series stars Christian Serratos as the titular character.
h_common_voice_198ef51cc020,read,en,common_voice,63,"In mathematics, Philo tackled the problem of doubling the cube."
h_common_voice_d3a8054741ca,read,en,common_voice,65,All values of that type have the same combination of field types.
h_common_voice_16738efe0049,read,en,common_voice,63,In the flashes of lightning they see the fire of the artillery.
h_common_voice_5990f7aef968,read,en,common_voice,81,The most widespread use of multitier architecture is the three-tier architecture.
h_common_voice_b12dd81cd595,read,en,common_voice,53,"The more you read, the better you will be understood."
h_common_voice_6b8404bfca7d,read,en,common_voice,63,"The name ratina probably dates back to the road meaning ""rata""."
h_common_voice_b5d472f1e755,read,en,common_voice,47,Salvatore hides in a meat factory that he owns.
h_common_voice_cdd7ccbbe984,read,en,common_voice,68,The guesser then attempted to solve the puzzle portion of the round.
h_common_voice_1afc86c236a1,read,en,common_voice,43,Kathleen loves to dress up like a princess.
h_common_voice_06bcb9050579,read,en,common_voice,47,"If there is no objection, the decision is made."
h_common_voice_8a0bd411601b,read,en,common_voice,56,Red-Eye swung back and forth on the branch farther down.
h_common_voice_4b061ae95fc4,read,en,common_voice,83,"The interviewer's questions are omitted from the transcripts, rendered merely as Q."
h_common_voice_adda4bef0130,read,en,common_voice,51,"It did, however, spawn a mild hit in ""Camera One,""."
h_common_voice_c0835b37f7e7,read,en,common_voice,72,"She also edited an original science fiction anthology series, ""Stellar""."
h_common_voice_f4aaca62d05d,read,en,common_voice,42,"A realisation hits and he exclaims, I see!"
h_common_voice_4e115daa3c4b,read,en,common_voice,44,"As a result, Jack breaks off the engagement."
h_common_voice_c99b1dedb6bc,read,en,common_voice,55,President Nicolas Maduro condemned the protest actions.
h_common_voice_b91555373400,read,en,common_voice,58,He also came second in the club's Player of the Year vote.
h_common_voice_010ade53b2f6,read,en,common_voice,74,He later earned a PhD in Linguistics from the University of New Hampshire.
h_common_voice_0a44b819478f,read,en,common_voice,84,There is indication that Hathaway may have been financially secure in her own right.
h_common_voice_8c20f9b5f77e,read,en,common_voice,95,They claimed that their method has made it possible to perform between-participant comparisons.
h_common_voice_0e99deb455e2,read,en,common_voice,97,The British later intervened and demanded compensation from the United States for the occupation.
h_common_voice_0e98529b6e74,read,en,common_voice,79,Live Oak is an agricultural community located in the fertile Sacramento Valley.
h_common_voice_3af5e71fce1d,read,en,common_voice,78,"For better physical understanding, let's first recap where the pivot point is."
h_common_voice_c2b7bbb3a973,read,en,common_voice,42,"He died in Warsaw, Poland in car accident."
h_common_voice_5880c3e50c6b,read,en,common_voice,76,"Her parents were Jewish immigrants, her father, Joseph, a German fur trader."
h_common_voice_988d113c4a9e,read,en,common_voice,71,"Thanks to the exhaust turbo charger, we could double the engine torque."
h_common_voice_d21670f96760,read,en,common_voice,69,This process is particularly visible in the eastern part of its area.
h_common_voice_956fbca09122,read,en,common_voice,44,It was created specifically for Eddie Bauer.
h_common_voice_caf648071b02,read,en,common_voice,45,Inside the conclave were three non-Cardinals.
h_common_voice_404f19341d88,read,en,common_voice,68,Two physicists pondered their revised quantum field theory together.
h_common_voice_44956c90cf84,read,en,common_voice,93,"The series was well-received, and it is considered the forerunner of creator-driven cartoons."
h_common_voice_bc49deee254a,read,en,common_voice,43,Pongo is the brother of Valerie Twistleton.
h_common_voice_e9d7299fcbf2,read,en,common_voice,42,Elizabeth was about the same age as Maria.
h_common_voice_5c329fe6adfd,read,en,common_voice,98,"Beginning with that article, ""romanticized stories"" about Bowie began appearing in national press."
h_common_voice_846ec9d69437,read,en,common_voice,46,"When the directors find out, they fire Amelia."
h_common_voice_28075a30bf96,read,en,common_voice,63,Baud is related to gross bit rate expressed as bits per second.
h_common_voice_a65878e536cb,read,en,common_voice,78,Among other nutrients lost are dietary fiber and small amounts of fatty acids.
h_common_voice_c27f448fce61,read,en,common_voice,58,The soul of the deceased will convert the water into rain.
h_common_voice_7cda1f1c1d0f,read,en,common_voice,80,"He had been a teammate of Hull City's manager, Phil Parkinson, while at Reading."
h_common_voice_5efb38b12c0d,read,en,common_voice,85,Manufacturing is quite limited with a few examples of plywood and wood pulp industry.
h_common_voice_746fad8c549a,read,en,common_voice,49,He was the teacher of music of Francesco Beretta.
h_common_voice_4f5440d17a4f,read,en,common_voice,64,Lanterns decorate the stage with the names of festival sponsors.
h_common_voice_6c94f8f02fd4,read,en,common_voice,84,"Illudin is highly toxic, with little apparent therapeutic value in its natural form."
h_common_voice_187154b8f618,read,en,common_voice,52,It dissolves in with water to give acidic solutions.
h_common_voice_bfe959b37e7f,read,en,common_voice,63,"Both Sargent and Nelson Doubleday, Junior worked for Doubleday."
h_common_voice_8bc6cc575155,read,en,common_voice,56,The weather radar channel was discontinued at that time.
h_common_voice_5963cf0aeced,read,en,common_voice,79,"In fact, at the time, Kimmel was not aware of Washington's eight-action policy."
h_common_voice_bcb0afe6987e,read,en,common_voice,71,He wife Hannah was known for holding church socials at the Casady home.
h_common_voice_9386f680ff14,read,en,common_voice,75,"The first two seasons have been wiped, although the final season is intact."
h_common_voice_597c76d2bbde,read,en,common_voice,53,He was a member of the Kiev City Council three times.
h_common_voice_5fa15bda4829,read,en,common_voice,54,There are some fake universities functioning in Delhi.
h_common_voice_deac252b9301,read,en,common_voice,47,My assignment has been completed and submitted.
h_common_voice_80658e3acf38,read,en,common_voice,40,Cador is also said to be of Roman stock.
h_common_voice_6cd679da4ae9,read,en,common_voice,40,Its territory is now in western Croatia.
h_common_voice_4d1500b4d4f9,read,en,common_voice,44,but nowhere could he find his new companion.
h_common_voice_e86de17a88b4,read,en,common_voice,64,"Thus, ""Mesopotamia"" required a new writing project for the band."
h_common_voice_cf736cb12135,read,en,common_voice,40,It was done before the boy could see it.
h_common_voice_8f2becb605ad,read,en,common_voice,48,The result was to give an effect of slow motion.
h_common_voice_6f76c23f805b,read,en,common_voice,59,"At most, they thought that another meteorite had descended."
h_common_voice_328f0b5895d2,read,en,common_voice,41,The beach is dry and shallow at low tide.
h_common_voice_db130375b0a3,read,en,common_voice,42,"I have done with the red coat, believe me."
h_common_voice_48e9bd2f6e78,read,en,common_voice,58,I would if I thought I'd hear anything worth listening to.
h_common_voice_76d70b0d7f14,read,en,common_voice,43,It is the most valuable stamp in the world.
h_common_voice_55a4165a069b,read,en,common_voice,42,"You are what you are, you are who you are."
h_common_voice_fde5e3adb4cc,read,en,common_voice,100,"Canada more than ever welcomed American investments during ""the stagflation"" that hurt both nations."
h_common_voice_fadfdc29d0fc,read,en,common_voice,77,While he sings the song the video cuts back and forth between several scenes.
h_common_voice_78d604228ca1,read,en,common_voice,59,The postwar years found him back in his hometown of Munich.
h_common_voice_8a4f3b6f6fb9,read,en,common_voice,72,It does not certify the content of the document for which it was issued.
h_common_voice_1ce5d14b9ee6,read,en,common_voice,63,The bed of this river is mostly made up of pebbles and pebbles.
h_common_voice_78f4e8b413e0,read,en,common_voice,41,He also lived for some time in Amsterdam.
h_common_voice_6ec357b82ed7,read,en,common_voice,61,In the fall the leaves turn many shades of orange and yellow.
h_common_voice_da1c29c8d52d,read,en,common_voice,68,He was first commanding officer of the Sri Lanka Army Medical Corps.
h_common_voice_ee003467edfe,read,en,common_voice,68,"If forced, one might categorize them into social and group theories."
h_common_voice_8c3f166072b5,read,en,common_voice,83,Members of the Zongo community are mistakenly but commonly regarded as Northerners.
h_common_voice_be19fcf32bda,read,en,common_voice,76,William Hawryluk was a perennial candidate for political office in Winnipeg.
h_common_voice_b65762f1bd9c,read,en,common_voice,78,"Ryan will next appear in two feature films ""Streamline"" and ""Dishonest Bunch""."
h_common_voice_ab125abfee52,read,en,common_voice,61,The internal walls are then removed thus forming a reservoir.
h_common_voice_92621a29ba3c,read,en,common_voice,61,"Towns and cities in Illubabora include Bedele, Gore and Metu."
h_common_voice_fcce10d441ff,read,en,common_voice,98,"Phelps also swam competitively for Club Wolverine, a swimming club associated with the university."
h_common_voice_3d6e1fb7aa1e,read,en,common_voice,85,Other festivals held in Tolmin are Punk Rock Holiday and the Overjam reggae festival.
h_common_voice_b156e8bef603,read,en,common_voice,46,She was educated at Ashley Hall in Charleston.
h_common_voice_294a06e69274,read,en,common_voice,95,Bilateral relations have traditionally been at the heart of development cooperation activities.
h_common_voice_008df703092e,read,en,common_voice,56,These declarations made Charles Albert far more popular.
h_common_voice_f5a7bef9a558,read,en,common_voice,41,They might offer it to you a bit cheaper.
h_common_voice_a654b59901c1,read,en,common_voice,71,"The series again ended on an overtime goal, this time from Mike Modano."
h_common_voice_9c86d8f44ede,read,en,common_voice,63,It was a modern but compact Mallet of which only one was built.
h_common_voice_b0912c8c2253,read,en,common_voice,78,It marked the directorial debut of highly regarded cinematographer John Seale.
h_common_voice_15691778d8e5,read,en,common_voice,66,His two eldest sons were killed in action in the Second World War.
h_common_voice_564a0dafbf20,read,en,common_voice,68,The chairman also has a seat in the university's Board of Governors.
h_common_voice_7bd1c8e16e19,read,en,common_voice,48,What were you when you came here five years ago?
h_common_voice_fd9c0fc7f90c,read,en,common_voice,56,And it makes you feel as if you are The Darkness itself.
h_common_voice_8bbf0590191f,read,en,common_voice,89,"Despite this, Helena's abiding love for Demetrius remains consistent throughout the play."
h_common_voice_de3896331f14,read,en,common_voice,101,The business environment is constantly changing and new threats and vulnerabilities emerge every day.
h_common_voice_273d8d29b8c1,read,en,common_voice,82,Mills House hotels were closed during the day to encourage residents to seek work.
h_common_voice_ef89b38eaf9c,read,en,common_voice,85,"As well, this model allows people to watch programs without paying subscription fees."
h_common_voice_1d3470aa977c,read,en,common_voice,85,Natives of the ancient concept of monotheism to reduce the uncertainty of the future.
h_common_voice_a67114b9235e,read,en,common_voice,60,The climate was mild; the farm lands were cheap and fertile.
h_common_voice_05985eee7463,read,en,common_voice,60,He worked extensively on the Villa Imperiale on Mount Accio.
h_common_voice_0e665aed1a01,read,en,common_voice,76,Wang Lun and his deputies eventually arrive on the scene and stop the fight.
h_common_voice_b977fdcddc16,read,en,common_voice,84,Anger met pianist Barbara Higbie in Paris and formed a musical partnership with her.
h_common_voice_f59c480259e3,read,en,common_voice,56,"I'm not so much into anatomy, where's the bladder again?"
h_common_voice_2dcbe2912ec2,read,en,common_voice,74,The nearest railway is at Labytnangi on the opposite side of the river Ob.
h_common_voice_4fe51fc32955,read,en,common_voice,78,Alexander himself faced three primary challenges during his term as patriarch.
h_common_voice_75dacbd587ee,read,en,common_voice,83,The population of Spain is becoming increasingly diverse due to recent immigration.
h_common_voice_2dd1a5a42896,read,en,common_voice,78,No segment of this state route is included within the National Highway System.
h_common_voice_906f729e4ee7,read,en,common_voice,56,Build your list of improvements and track your progress.
h_common_voice_66809666cd86,read,en,common_voice,71,Thirteen nations participated in Nordic combined at the Grenoble Games.
h_common_voice_b4217548a150,read,en,common_voice,96,The mixture will produce a chlorine solution of approximately five hundred milligrams per liter.
h_common_voice_18b614604c89,read,en,common_voice,60,She decided to study Accounting at a university in Portugal.
h_common_voice_fcec77b83fed,read,en,common_voice,98,Brisbane Roar have a team in the national W-League that represent Queensland's female footballers.
h_common_voice_1616f1645342,read,en,common_voice,66,The receiver is made from stamped sheet steel with a hinged cover.
h_common_voice_cc46aea6286d,read,en,common_voice,44,The album was released in multiple versions.
h_common_voice_037870d3cb8d,read,en,common_voice,81,"Because ""Little Big Mom"" deals with leprosy, it has never been released in Japan."
h_common_voice_b92ad87f6cee,read,en,common_voice,53,Butler tranquilizes Holly with a hypodermic dart gun.
h_common_voice_8fdacbf3a133,read,en,common_voice,89,The Butler Building was then demolished to construct the Longworth House Office Building.
h_common_voice_3a7f8d1ba9de,read,en,common_voice,92,The Sleeping Bear Dunes National Lakeshore extends into the northwest portion of the county.
h_common_voice_63be2a76a7cf,read,en,common_voice,61,It was more activity than usual for this time of the morning.
h_common_voice_8882fda1bc41,read,en,common_voice,41,Port is a strong wine with a smoky taste.
h_common_voice_2bcfa4d064fa,read,en,common_voice,78,This was the first donation accepted by the Smithsonian in the field of magic.
h_common_voice_5a1e8383aea3,read,en,common_voice,65,He is studying for his university degree at Athabasca University.
h_common_voice_2a9c9c369b39,read,en,common_voice,69,"Similar parties were formed in the Netherlands, Bulgaria and Britain."
h_common_voice_141f025a6564,read,en,common_voice,81,"Bennison is his estranged father's name, and Fortune is his mother's maiden name."
h_common_voice_774711c5f29e,read,en,common_voice,41,His speech ended with a standing ovation.
h_common_voice_8b3af7c09523,read,en,common_voice,80,"The realm of Molag Bal, Coldharbour, also appears in ""The Elder Scrolls Online""."
h_common_voice_8d46d3ad261b,read,en,common_voice,70,"It grows along the borders of lakes, ponds and streams and in marshes."
h_common_voice_e7212d3b4035,read,en,common_voice,59,Our last but not least mission is laid on an ultimate goal.
h_common_voice_90ef7a3c3384,read,en,common_voice,71,"The specific epithet crenata also comes from Latin and means ""notched""."
h_common_voice_f418fda2e7fb,read,en,common_voice,77,Hundreds of protesters gathered peacefully outside Cardiff Castle in Cardiff.
h_common_voice_fa1e198c6d44,read,en,common_voice,69,The county was formed from portions of Chippewa and Lincoln counties.
h_common_voice_a4cc32bbc5ae,read,en,common_voice,46,"Sooner or later Three brothers, three castles."
h_common_voice_3ba7f723b6a2,read,en,common_voice,56,"Currently, she is the voice director for ""Regular Show""."
h_common_voice_e29941192eda,read,en,common_voice,90,"For students who want to graduate early, the university offers a three-year degree option."
h_common_voice_c1ca79b37b81,read,en,common_voice,40,It is native to the Antarctic Peninsula.
h_common_voice_4bfc1f6cfb4f,read,en,common_voice,53,Support services such as hospitals were non-existent.
h_common_voice_458ba382f1c1,read,en,common_voice,43,"Look, you really need to sort yourself out."
h_common_voice_128d0997f92d,read,en,common_voice,49,You won't be safe until the money's in our hands.
h_common_voice_ec54fa554417,read,en,common_voice,81,"In exchange for freeing her, Kaguya promises to grant Kagura her eternal freedom."
h_common_voice_f25b46a15517,read,en,common_voice,51,"After the Civil War, cattlemen moved into the area."
h_common_voice_60f0f5ffe084,read,en,common_voice,50,The dental clicks are also laminal denti-alveolar.
h_common_voice_25cfe8cd8652,read,en,common_voice,61,"Bacon, pancakes and maple syrup is a hearty start to any day."
h_common_voice_8d17b1712da3,read,en,common_voice,80,Its headquarters are in London and it is a registered charity under English law.
h_common_voice_390f2ec68efb,read,en,common_voice,68,The students wore a special dress and the tonsure and ate in common.
h_common_voice_d059bcb3d91e,read,en,common_voice,70,"After leaving Shadows Fall, All That Remains became his main priority."
h_common_voice_1e6c1c046086,read,en,common_voice,41,"Ninety five lines and no more, that's it."
h_common_voice_50b1d194a9a2,read,en,common_voice,44,"Let it burn, it gives us warmth and comfort."
h_common_voice_b2edbf1ce74b,read,en,common_voice,89,"During their march, Hooker Jim and his warriors killed several white settlers in revenge."
h_common_voice_09f11ac1b20c,read,en,common_voice,70,There was also an increased focus on monastic institutions in Nyingma.
h_common_voice_0a99635cb144,read,en,common_voice,59,Craig built his distillery in what was then Fayette County.
h_common_voice_c3782aef8bc0,read,en,common_voice,70,The Chicago Bulls formerly practiced at the Berto Center in Deerfield.
h_common_voice_db70acd211c4,read,en,common_voice,79,He played three One Day Internationals but no Test matches for the West Indies.
h_common_voice_55e5cfc5d70a,read,en,common_voice,59,Each of them usually comprises a small group of round huts.
h_common_voice_6491a22e20b9,read,en,common_voice,69,The brickwork is laid in stretcher courses through most of the house.
h_common_voice_130917415b23,read,en,common_voice,71,The club is always looking for new players to compete in local leagues.
h_common_voice_4d85ecf95786,read,en,common_voice,46,Goll killed his mother by mistake with a bone.
h_common_voice_834171d34cd9,read,en,common_voice,53,He often kept several labels active at the same time.
h_common_voice_f21dbd78af39,read,en,common_voice,63,He progressed quickly and drew the attention of the surf media.
h_common_voice_c9e108227abf,read,en,common_voice,85,The boy observed in silence the progress of the animals and people across the desert.
h_common_voice_c41ef33b8fea,read,en,common_voice,73,Campsall was historically a large parish in the West Riding of Yorkshire.
h_common_voice_256f018f54ae,read,en,common_voice,58,Configuration of the client is performed via Group Policy.
h_common_voice_d5ae46be6098,read,en,common_voice,86,"Plants are usually monoicous, and sexual reproduction is by antheridia and archegonia."
h_common_voice_e939aa894353,read,en,common_voice,78,The second mode was used until the next pair of Vela satellites were launched.
h_common_voice_31c3f70c93a2,read,en,common_voice,81,Francis was later fined by the club and the Football Association for his actions.
h_common_voice_6ca01271b9ba,read,en,common_voice,70,It is religiously accredited by the Adventist Accrediting Association.
h_common_voice_f89d0d51952e,read,en,common_voice,90,"After the release of ""All the Greatest Hits"", Roger Troutman existed primarily by touring."
h_common_voice_5cb39658c4f9,read,en,common_voice,43,Turkey is dismantling the incentive system.
h_common_voice_7fc7cd49a6a6,read,en,common_voice,73,The Slavic immigrants came to Bohemia with excellent cigar-making skills.
h_common_voice_f4af1659b1dd,read,en,common_voice,70,"To her amazement, she found a supermarket trolley lying on the seabed."
h_common_voice_7a0b61e61762,read,en,common_voice,59,He was the first secretary of the Indian National Congress.
h_common_voice_f08d3e893687,read,en,common_voice,60,He then dropped the studies and became a political activist.
h_common_voice_6fe73ba86bdc,read,en,common_voice,69,"When the Midnight Shift apprehended him, he revealed his new origins."
h_common_voice_4ce9f5bd1988,read,en,common_voice,75,Three-phase alternating current is an efficient way of transmitting energy.
h_common_voice_bb8c6ffde534,read,en,common_voice,72,"On the Inman street side and ""looking toward Boston road"" are mentioned."
h_common_voice_16a53caf98e7,read,en,common_voice,96,"The program offers opportunities to participate in federal, state and privately funded research."
h_common_voice_33c1ebab2d30,read,en,common_voice,75,The relationship between Janet and Arthur results in her becoming pregnant.
h_common_voice_1e3d6cf9c1e0,read,en,common_voice,96,"The proposal came under criticism of European Federation of Journalists, and Russian government."
h_common_voice_479c5fa8cc92,read,en,common_voice,74,"Jason Russell and eleven others were buried in one grave, without coffins."
h_common_voice_e6bd24706eee,read,en,common_voice,68,The organization Disabled American Veterans is based in Cold Spring.
h_common_voice_777790ff10ea,read,en,common_voice,65,"Radcliffe was born on a farm at Lloyds, near Cambridge, Maryland."
h_common_voice_d03f91152415,read,en,common_voice,57,It is one of the most revered relics in the Muslim world.
h_common_voice_18907a73a327,read,en,common_voice,91,"It broadcasts to County Durham, Northumberland and Tyne and Wear from studios in Newcastle."
h_common_voice_f67ff64b4ebb,read,en,common_voice,64,It is also related to the theory of Lie groups and Lie algebras.
h_common_voice_19a54b45dfb3,read,en,common_voice,81,It is also a well-used interchange for passengers between slow and fast services.
h_common_voice_42cd81549ed6,read,en,common_voice,50,"In the historic era, these were the Mohawk Nation."
h_common_voice_a4b79b5f3148,read,en,common_voice,72,He believed that the stark dichotomies of conceptualism were misleading.
h_common_voice_ac653f7a42f8,read,en,common_voice,80,The company historically focused on moving the households of military personnel.
h_common_voice_1da65050653b,read,en,common_voice,100,"Many notable problem and study composers are also International Judges, including Genrikh Kasparyan."
h_common_voice_fe38da556016,read,en,common_voice,45,"Well, I'm glad you're feeling braced, I said."
h_common_voice_3eac1b367a40,read,en,common_voice,69,"It was the Four Seasons' final song, as a group, to reach number one."
h_common_voice_5193dd676a23,read,en,common_voice,42,The natural vegetation is pine–oak forest.
h_common_voice_1f4e337b845f,read,en,common_voice,61,This saves many man hours in addition to increasing security.
h_common_voice_19f964485b74,read,en,common_voice,69,"A part of it is a standard speed skating rink, connected to the rest."
h_common_voice_f2855ea124cc,read,en,common_voice,83,Volkswagen vehicles built off different platforms have carried the Polo name plate.
h_common_voice_44996e539c53,read,en,common_voice,44,Promise you'll never lie the way Snoopy did.
h_common_voice_024d0f86fcc1,read,en,common_voice,46,"Perhaps, I didn't fill in the right paperwork."
h_common_voice_f731cad2a5b9,read,en,common_voice,81,"To find out the exact threshold, we need to repeat this in a reproducible manner."
h_common_voice_37e52824dd2f,read,en,common_voice,69,Carface comes out of hiding and attempts to downplay his involvement.
h_common_voice_107d6bcc7c82,read,en,common_voice,79,Several publications containing the text of the Samaritan Targum have appeared.
h_common_voice_2b16d3dc418a,read,en,common_voice,72,The station is between Wan Chai and Tin Hau stations on the Island Line.
h_common_voice_8587e82c82a5,read,en,common_voice,90,"If you just finished speaking this sentence, click the red button below to stop recording."
h_common_voice_38191ba01cb5,read,en,common_voice,57,After the second world war the city was rapidly extended.
h_common_voice_81429f1e3417,read,en,common_voice,66,"I think there will be all sorts of consequences, Dalyell declared."
h_common_voice_2222dff6ac12,read,en,common_voice,61,"His brothers, Thomas and John, would run the family business."
h_common_voice_347353c1383e,read,en,common_voice,64,Wasn't there a command line client for ordering pizza somewhere?
h_common_voice_5393a9f7f096,read,en,common_voice,40,He wanted Nelson's disrespect witnessed.
h_common_voice_af26ba9cad0b,read,en,common_voice,86,Feral Interactive and Sumo Digital were once responsible for platform transplantation.
h_common_voice_17a260ba116d,read,en,common_voice,42,Bryan was a Major in the Blues and Royals.
h_common_voice_d485b30de2dc,read,en,common_voice,42,The flowers are white with yellowish dots.
h_common_voice_769fc6cbad90,read,en,common_voice,53,He graduated as one of the top students in his class.
h_common_voice_7a15ce1621f9,read,en,common_voice,87,"Before his election, she criticized Barack Obama as ""an elitist who worked with words""."
h_common_voice_56dd0cbef5b7,read,en,common_voice,80,They planned to board a British liner there to complete their journey to London.
h_common_voice_b179455e972e,read,en,common_voice,43,The garden is older than the house in fact.
h_common_voice_ca0626af7dd4,read,en,common_voice,46,This wasn't a strange place; it was a new one.
h_common_voice_4f5065342646,read,en,common_voice,60,The marriage of Zeus and Hera was acted at annual festivals.
h_common_voice_2a7363028992,read,en,common_voice,102,"They starred Gertrude Lawrence, Jack Buchanan, Beatrice Lillie, Stanley Holloway, and Jessie Matthews."
h_common_voice_57cf2b524e4f,read,en,common_voice,58,"Public facilities, as precautionary measures, were closed."
h_common_voice_5de8e8d6d142,read,en,common_voice,56,He has also been chief economist for Caixin Media Group.
h_common_voice_b3dc51eb45be,read,en,common_voice,86,The Portuguese governor building and current administrative buildings is located here.
