request_id,provider,voice,mode,language,text_id,register,speed,instructions,text,est_chars
grok_5edc94710fb1159e,grok,ara,slow,en,h_common_voice_07b73e4319ed,read,0.8,,Self-confidence seemed to ooze from the fellow's every pore.,60
grok_fbf8bc26154d7dc5,grok,rex,neutral,en,h_voxpopuli_880271595af5,formal,,,ever since then to better have been under the control of beijing the traditional the traditional but tobe,105
grok_4f9da7df7d1fc982,grok,sal,neutral,en,h_common_voice_0416d2ca3fb1,read,,,Alexander was married to James Frost Alexander.,47
grok_778dda945991bf30,grok,leo,fast,en,h_emilia_639a2847a3a2,conversational,1.3,,This is their first engine to combust liquid oxygen and liquid methane propellants. In September 2014—in a choice labeled,121
grok_cf4aeef069e4a636,grok,eve,neutral,en,h_common_voice_f08d3e893687,read,,,He then dropped the studies and became a political activist.,60
grok_906ddffaa27751d7,grok,ara,neutral,en,h_common_voice_8bbf0590191f,read,,,"Despite this, Helena's abiding love for Demetrius remains consistent throughout the play.",89
grok_73306f50da02f712,grok,rex,neutral,en,h_peoples_speech_a986880f652a,procedural,,,i mean well that's not why would the state insist on injecting a potentially reversible error into a trial where they have all this evidence of twenty one incidences of telephone harassment texts conclusions,207
grok_eb517837ee3db023,grok,sal,neutral,en,h_emilia_23755a13b9aa,conversational,,,"Mike, I debated asking this question at all because I feel like, uh, there can only really be one answer on, on this, during this discussion, but uhm, do you have a favorite football team?",188
grok_e3067ba3f287bb80,grok,leo,whisper,en,h_common_voice_be329a6072fb,read,,,"<whisper>Fouls, on the other hand, can occur only while the ball is in play.</whisper>",86
grok_749e4d703e52c541,grok,eve,neutral,en,h_emilia_29d6abadb127,conversational,,,"However, HDL – good cholesterol – did not increase by a significant amount",74
grok_a9ba631f1ccfa565,grok,ara,neutral,en,h_peoples_speech_a9a2d4abfc5e,procedural,,,maybe he would have ended up with the same numbers but it it should have been done that way is what you're and evidence should have been presented and it's their burden of proof on that issue,191
grok_208e6c5321929926,grok,rex,neutral,en,h_emilia_430c467e1a68,conversational,,,A significant amount of strategy and maintaining that leadership position within innovation. So maybe talk to us a little bit about your innovation path and what that progression has been like for ANOVA.,203
grok_550c5f4e6b1ac3ce,grok,sal,neutral,en,h_peoples_speech_4cf1ba28db82,procedural,,,so what we're growing here now includes some of elmer swensen's grapes and some of the university of minnesota grapes but what changed to get back to your original question fifteen years ago was the availability of these new grape varieties that are adapted to this climate yeah,278
grok_d365111921dd27c1,grok,leo,fast,en,h_emilia_584ebf37602a,conversational,1.3,,"In your family, who do you go to for support? Is it mom, dad, maybe a grandparent? Have you surrounded yourself with positive friends, people who can listen and be there for you? In this building, you have a lot of mentors.",223
grok_84cd15c8aaba6c61,grok,eve,neutral,en,h_emilia_aa70c0ab35b6,conversational,,,"I'd like to talk to you now just about section headings. As you may have noticed, Moodle has",92
grok_f04b265383cc7647,grok,ara,neutral,en,h_peoples_speech_66ff32a70038,procedural,,,the architect firm johnson roberts associates inc completed the study in may two thousand and seventeen,103
grok_9a09a5a810e80e52,grok,rex,neutral,en,h_emilia_b85332de52b2,conversational,,,"What would happen if you did use perspective? And that's, uh, that's important. So come up with your own box variations and have fun with it.",141
grok_9b774260cf9a6cb1,grok,sal,neutral,en,h_peoples_speech_3d924ae785cb,procedural,,,i don't think we're you know i don't think you'd be talking more than you know i mean i don't know,98
grok_4222d20dc248c10d,grok,leo,neutral,en,h_emilia_a197d03cd98b,conversational,,,"Uh, such a joke. They own DC, but they have only a few DC shows. Rest in peace.",79
grok_017306505dfd4d13,grok,eve,fast,en,h_emilia_dc49428f4850,conversational,1.3,,The resulting textures are a little different but mostly for the initiated taster.,82
grok_6c8d46fc50602fbc,grok,ara,slow,en,h_common_voice_f25b46a15517,read,0.8,,"After the Civil War, cattlemen moved into the area.",51
grok_5d94f957834bed00,grok,rex,neutral,en,h_common_voice_f59c480259e3,read,,,"I'm not so much into anatomy, where's the bladder again?",56
grok_91bbe09576009f8b,grok,sal,neutral,en,h_emilia_00e5f4779f68,conversational,,,The idea that reason is the subordinate capability.,51
grok_3d135b145288fd8c,grok,leo,neutral,en,h_common_voice_0e98529b6e74,read,,,Live Oak is an agricultural community located in the fertile Sacramento Valley.,79
grok_565b0f09486fd830,grok,eve,neutral,en,h_common_voice_bfe959b37e7f,read,,,"Both Sargent and Nelson Doubleday, Junior worked for Doubleday.",63
grok_5318114a5af8155b,grok,ara,whisper,en,h_common_voice_4b061ae95fc4,read,,,"<whisper>The interviewer's questions are omitted from the transcripts, rendered merely as Q.</whisper>",102
grok_f2a227077b9cea88,grok,rex,slow,en,h_common_voice_5963cf0aeced,read,0.8,,"In fact, at the time, Kimmel was not aware of Washington's eight-action policy.",79
grok_c6762492f0a76c72,grok,sal,neutral,en,h_voxpopuli_2e4ecdeb964d,formal,,,this clearly shows that we need a stronger we need a stronger position we need the power to cod aside,101
grok_05145f8d9bc9a542,grok,leo,singing,en,cur_sng_003,singing,,,"<singing>Oh my darling, oh my darling, oh my darling Clementine.</singing>",74
grok_cd0ebb12849daa2d,grok,eve,neutral,en,h_peoples_speech_97d522b61079,procedural,,,and be able to at least call the hands i guess they say okay you say that and prove it,86
grok_ffe603f82770fe4f,grok,ara,neutral,en,cur_emo_015,emotional,,,"Ugh, this is disgusting. Who leaves week-old takeout in the office fridge?",74
grok_0b15bee0ed37a7d1,grok,rex,neutral,en,h_emilia_3647b7faf3a6,conversational,,,"Finally, one day in desperation, the counselor said to her, give me a sense of something you're interested in, anything at all.",127
grok_8c7438a6a3a31ce0,grok,sal,neutral,en,h_peoples_speech_61ac80454ed5,procedural,,,an affidavit which authenticated those exhibits and they were provided to the court,83
grok_c0525dee9f0dcdd6,grok,leo,neutral,en,cur_num_006,numbers,,,Your account ending in 7733 was charged $89.99 on February 28th.,64
grok_518794b4ffd35e32,grok,eve,neutral,en,h_common_voice_168afee212c7,read,,,He was the producer of most of these films.,43
grok_92100eb6be7e2077,grok,ara,neutral,en,h_common_voice_9386f680ff14,read,,,"The first two seasons have been wiped, although the final season is intact.",75
grok_4a05fd0d2169ed80,grok,rex,neutral,en,h_peoples_speech_66aab7cc89e1,procedural,,,we exist to serve the needs of everyone who uses or works in municipal buildings including staff students residents and others what do you think are your greatest strengths which will benefit you in this role as a vocation and avocation i have built structures of many types in multiple states,293
grok_5add17818ff344d0,grok,sal,neutral,en,h_emilia_7a0c904b0e26,conversational,,,In many situations they were invisible. Teachers did not see them. They were not known. Most of these children were not known.,126
grok_5fbd3e5ab4ee093c,grok,leo,whisper,en,cur_whi_006,whisper,,,<whisper>The library closes in ten minutes. We need to find that reference now.</whisper>,89
grok_489ac54ca2a6a47f,grok,eve,neutral,en,h_common_voice_c3782aef8bc0,read,,,The Chicago Bulls formerly practiced at the Berto Center in Deerfield.,70
grok_c56a379517cbbc8c,grok,ara,whisper,en,h_common_voice_f21dbd78af39,read,,,<whisper>He progressed quickly and drew the attention of the surf media.</whisper>,82
grok_6298a109a69a4e58,grok,rex,slow,en,h_common_voice_5efb38b12c0d,read,0.8,,Manufacturing is quite limited with a few examples of plywood and wood pulp industry.,85
grok_5026d6bfe5c76d7c,grok,sal,neutral,en,h_common_voice_2222dff6ac12,read,,,"His brothers, Thomas and John, would run the family business.",61
grok_d1c8576a827f73b3,grok,leo,neutral,en,h_common_voice_6f76c23f805b,read,,,"At most, they thought that another meteorite had descended.",59
grok_93a07b1170e065b6,grok,eve,fast,en,h_emilia_fec9968fea1e,conversational,1.3,,"The busy flag should not be used for any data handling, but to check for ongoing traffic.",89
grok_b2424ca70134139a,grok,ara,neutral,en,cur_emo_011,emotional,,,You had one job. One. And now the whole project is ruined.,58
grok_dc182e2875da4235,grok,rex,neutral,en,h_peoples_speech_501be678e779,procedural,,,coaxial cable like this has already crisscrossed the country pushed past some of our last frontiers guided by a 20th century type of pioneer who swapped his covered wagon and team of oxen for a diesel power and cable plow and left in his wake not a wagon trail but a network of electronic highways,297
grok_f78303623e2d0a6a,grok,sal,neutral,en,h_peoples_speech_3d8739bcb737,procedural,,,two hundred and fourteen million one hundred and fifty one thousand seven hundred and ninety one,96
grok_2b3c1a47603a535b,grok,leo,neutral,en,h_common_voice_78f4e8b413e0,read,,,He also lived for some time in Amsterdam.,41
grok_a03872a0fc5b0642,grok,eve,whisper,en,h_common_voice_14c07d24ea18,read,,,<whisper>The floor was finished hardwood and used for basketball and volleyball.</whisper>,90
grok_d4ba160b272b7e28,grok,ara,neutral,en,cur_emo_018,emotional,,,"I can't feel my hands. Why can't I feel my hands? Call someone, please.",71
grok_e6cc423b9c5fe665,grok,rex,slow,en,h_common_voice_1e6c1c046086,read,0.8,,"Ninety five lines and no more, that's it.",41
grok_efc5f6a361e79df5,grok,sal,neutral,en,h_emilia_e9d669a592f1,conversational,,,"You know, what's intuitive is, you know, uh, uh, I work my way in, I do good, and I, you know, I earn my way in, because that's how it works in the world.",154
grok_18f5fecfda06c24d,grok,leo,neutral,en,h_emilia_c243e9344114,conversational,,,"The community begins merry-making, music, dancing and women playfully smear the faces of their companions with sindor' vermilion, all as a mark of the victory of good over evil",176
grok_b1f43421340a9d63,grok,eve,neutral,en,h_common_voice_fcce10d441ff,read,,,"Phelps also swam competitively for Club Wolverine, a swimming club associated with the university.",98
grok_aec0bc3847dba1dc,grok,ara,neutral,en,h_common_voice_907001910bd1,read,,,The three groups are not believed to form a clade.,50
grok_ed3b3587b45494e7,grok,rex,neutral,en,h_peoples_speech_0860a1ca13ba,procedural,,,firefighters also feel that there are few resources to follow up on the vulnerable elders that they encounter,109
grok_c86bbcd97ec54e00,grok,sal,neutral,en,h_common_voice_f471e63d8106,read,,,I hope that he understood what I was saying.,44
grok_43ef226ab50bf334,grok,leo,neutral,en,h_peoples_speech_4d85c4f59562,procedural,,,the system as i hope it will work will be instrumental in providing metrics on a number of things including the frequency and cost of repairs on missioncritical systems,168
grok_5f46f766f1cd0cf2,grok,eve,whisper,en,h_common_voice_19a54b45dfb3,read,,,<whisper>It is also a well-used interchange for passengers between slow and fast services.</whisper>,100
grok_dad7d1c90ea8b6e3,grok,ara,slow,en,h_common_voice_b65762f1bd9c,read,0.8,,"Ryan will next appear in two feature films ""Streamline"" and ""Dishonest Bunch"".",78
grok_98d2cb90428c8aa1,grok,rex,soft,en,cur_emo_008,emotional,,,<soft>Get out. Get out right now and don't you ever come back here again.</soft>,80
grok_ebef4c097294dc46,grok,sal,neutral,en,h_common_voice_df15d89c8bc2,read,,,He worked briefly on the Manhattan Project at Princeton University.,67
grok_4cc347ac339c59d5,grok,leo,neutral,en,h_common_voice_c1a3610f7516,read,,,"Sam provides support to Andrew when he suffers from shell shock in ""Enemy Fire"".",80
grok_880bb4b0fd66a495,grok,eve,neutral,en,h_common_voice_7ad63d1c46bc,read,,,Nine missile launchers and two radars normally operate in a battery.,68
grok_509013ffd4cf125e,grok,ara,neutral,en,h_voxpopuli_c8e1c5004da3,formal,,,the social use of seized criminal assets for youth support regeneration projects or even crime prevention could really help empower these communities.,150
grok_83182dca179fafe9,grok,rex,neutral,en,h_voxpopuli_aab8cb315a18,formal,,,otherwise on these aspects if we work for sure we will achieve it one final mark there was,90
grok_3fb7d81419d85d1e,grok,sal,whisper,en,h_common_voice_db979862a140,read,,,"<whisper>Every generation has ""fought for freedom and equality"".</whisper>",74
grok_bccc76a1fdef239c,grok,leo,neutral,en,h_voxpopuli_aada317e5b48,formal,,,twenty you are attacking the principle of proportionality and the principle of representation by depriving a lot of polish citizens of their voices.,148
grok_807212bde1770978,grok,eve,neutral,en,h_emilia_766bc89402f2,conversational,,,"You also participate in the dance troupe, is that right?",56
grok_658050531a41fcec,grok,ara,neutral,en,h_peoples_speech_d6bad3a95d55,procedural,,,is it crucial to expand support and services for seniors there were over fifty people in attendance,99
grok_75a8b1d43246b643,grok,rex,fast,en,h_emilia_5765a74c825f,conversational,1.3,,The zeal and completeness with which he elaborates what I've called a mammoth handbook of how to make a Matisse.,112
grok_41c8fef376b8c1c3,grok,sal,slow,en,h_common_voice_8c3f166072b5,read,0.8,,Members of the Zongo community are mistakenly but commonly regarded as Northerners.,83
grok_d92b5852b109b78d,grok,leo,neutral,en,h_common_voice_13ce129cd613,read,,,Five winners have subsequently achieved victory in the following year's Derby.,78
grok_cfe9e945e30f8017,grok,eve,neutral,en,h_peoples_speech_d538ca613108,procedural,,,and they don't put water up there none of this really matters,61
grok_dd4298623110f5f2,grok,ara,neutral,en,h_emilia_e8f4f8a1da84,conversational,,,"That would be pretty interesting to see in game. I think while gold in form is cool for the freezer race, there's no in-betweens.",129
grok_9de1471ba2c00dc9,grok,rex,neutral,en,h_common_voice_5dfd878a117c,read,,,The series stars Christian Serratos as the titular character.,61
grok_dc598c4d25e189fe,grok,sal,neutral,en,h_emilia_74059930f4d2,conversational,,,Software that harms an OS or slows it down with malicious intent. These types of programs are called malware and they are meant to cause damage.,144
grok_e4a5d9c1f79127f5,grok,leo,neutral,en,cur_lng_004,longform,,,"To make the dough, start by warming the milk until it feels just slightly above body temperature, then whisk in the yeast and a tablespoon of the sugar and let it stand for about ten minutes until it looks foamy. In a large bowl, combine the flour, the remaining sugar, and the salt. Pour in the yeast mixture, the melted butter, and both eggs, and stir until a shaggy dough forms. Turn it out onto a floured counter and knead for eight to ten minutes. It should feel smooth and slightly tacky, but not sticky. Place it in an oiled bowl, cover it with a damp towel, and let it rise somewhere warm for about an hour, until it has doubled.",637
grok_3b6b37a1b81af54d,grok,eve,neutral,en,h_common_voice_6fe73ba86bdc,read,,,"When the Midnight Shift apprehended him, he revealed his new origins.",69
grok_e565773d05afb503,grok,ara,neutral,en,h_emilia_60284aafaa14,conversational,,,"I believe that chaos offers some useful ways of thinking about the world beyond science, but metaphors don't always work.",121
grok_f0b1ed0dd68fe233,grok,rex,neutral,en,h_peoples_speech_8561e179fbec,procedural,,,but what interests us is how do you develop qualities through a regular school program well suppose we take last year's class,125
grok_81c5a6477ebb1c4e,grok,sal,whisper,en,h_common_voice_50b1d194a9a2,read,,,"<whisper>Let it burn, it gives us warmth and comfort.</whisper>",63
grok_7ca528426f7ddae3,grok,leo,fast,en,h_emilia_d231fe27d9f7,conversational,1.3,,"Where theta is the amount of rotation, this is the direction of rotations and the generators are tau by 2.",106
grok_bd6729811b940a39,grok,eve,neutral,en,h_peoples_speech_6517f5ce980b,procedural,,,it complies in every aspect with rule three hundred and three,61
grok_6e385ead460bef10,grok,ara,neutral,en,h_emilia_a91f28c2ced0,conversational,,,"Do you strongly prefer to watch the recording and, uh,",54
grok_8ae7772545aaea38,grok,rex,slow,en,h_common_voice_47dc9c4516ec,read,0.8,,The two newspapers published a combined Sunday edition.,55
grok_317fb28170ede4d7,grok,sal,neutral,en,h_voxpopuli_699bb9f8d702,formal,,,finally other member states do exactly the same thing systematic pool,69
grok_d321577fa3051abc,grok,leo,soft,en,cur_whi_005,whisper,,,<soft>Look to your left. Slowly. Is that who I think it is?</soft>,66
grok_759eca1aa11f294c,grok,eve,neutral,en,h_common_voice_3050a47e6168,read,,,It was subsequently purchased by Joseph Medill Patterson and Robert McCormick.,78
grok_d10faa7ef343d4da,grok,ara,neutral,en,h_peoples_speech_0eb7f0b9cf79,procedural,,,and what kind of things did the friends do tell us a little bit about what you what you do with the friends group,113
grok_40c56ec2d439bb53,grok,rex,tags_native,en,cur_tag_005,grok_tags,,,"He said, [um] he said the package would arrive Tuesday. [sigh] It is now Friday.",80
grok_c6dd3b300de5ee7b,grok,sal,neutral,en,h_common_voice_66809666cd86,read,,,Thirteen nations participated in Nordic combined at the Grenoble Games.,71
grok_ad08dfd2e24420e0,grok,leo,neutral,en,cur_num_010,numbers,,,"Apartment 4C, 1872 North Maplewood Avenue, Springfield, Illinois, 62704.",72
grok_9645402e8bc5299d,grok,eve,neutral,en,h_common_voice_654c9f1850c9,read,,,Simon Doc Octopus Milton played bass guitar on The Lord Of The Flies album.,75
grok_9a5d33cb51bd7890,grok,ara,neutral,en,h_emilia_1320c13cd317,conversational,,,"Russia, 80 MW, Lopburi Solar Farm, Thailand 73.16 MW, Rovigo Photovoltaic Power Plant, Italy, 72 MW, and the Liberos Photovoltaic Park, Germany, 71.8 MW.There are also many large plants under construction.",205
grok_9a036d66faf00493,grok,rex,whisper,en,h_common_voice_cf736cb12135,read,,,<whisper>It was done before the boy could see it.</whisper>,59
grok_a29179e5483f8122,grok,sal,neutral,en,h_peoples_speech_44fceddcd339,procedural,,,one of the most important problems that had to be solved to furnish this service was finding a way of automatically keeping track of how long mrs douglas has conversations lasted the telephone number she called and telephone number,231
grok_0b7e6949bb2636f1,grok,leo,neutral,en,h_voxpopuli_371a1e1daf33,formal,,,the fact that young people are ready to do that and that we enable them to do it and to develop their capacities reflects a good european attitude.,147
grok_3c099a606cba1558,grok,eve,neutral,en,h_voxpopuli_7d158323e205,formal,,,of course it is for the israeli people their political leaders to decide on the composition of their new government.,116
grok_514de886f6e821ec,grok,ara,slow,en,h_common_voice_1ce5d14b9ee6,read,0.8,,The bed of this river is mostly made up of pebbles and pebbles.,63
grok_b74e48c95ab6f9f9,grok,rex,neutral,en,h_common_voice_2dd1a5a42896,read,,,No segment of this state route is included within the National Highway System.,78
grok_0572e0178932898a,grok,sal,neutral,en,h_peoples_speech_26d216763935,procedural,,,in order for agriculture to continue to thrive there must be a streamlined process to bring seasonal temporary labor when necessary,131
grok_06a3c11aea7b4391,grok,leo,neutral,en,h_emilia_1f6006433db4,conversational,,,"Out of a hun- on a hundred point scale, we scored an eight. Uh, yeaah.",70
grok_b0498da19b5a3be4,grok,eve,neutral,en,h_common_voice_0eb4eaeac6b8,read,,,All who met him fell with their faces to the earth.,51
grok_a3a4ec9e40c0f7e0,grok,ara,neutral,en,h_common_voice_d4bcc2be844b,read,,,The property has a lot of space; what's its size?,49
grok_984fbe3e5712f0c7,grok,rex,whisper,en,h_common_voice_fcec77b83fed,read,,,<whisper>Brisbane Roar have a team in the national W-League that represent Queensland's female footballers.</whisper>,117
grok_3104b66e7895f705,grok,sal,tags_native,en,cur_tag_012,grok_tags,,,[laugh] Wait wait wait. [pause] You put the keys in the freezer? <loud>The freezer?!</loud>,91
grok_ccafe4c43812e44b,grok,leo,fast,en,h_emilia_6178c168f564,conversational,1.3,,The additional costs of those first carbon capture and disposal plants.,71
grok_c3ddc92b3ed1c99b,grok,eve,slow,en,h_common_voice_e4d680332ca0,read,0.8,,The fan whirled its round blades softly.,40
grok_6ee42860b5d07d86,grok,ara,neutral,en,h_emilia_f8b1fc63a7db,conversational,,,Successive atoms become smaller because they are filling orbits of,66
grok_26965f523c25a9aa,grok,rex,neutral,en,h_peoples_speech_140c7c78ab74,procedural,,,where we'd like to get permission to start the process so we can be in a position to include that in the paving project,119
grok_99a196ae9e1514d3,grok,sal,neutral,en,h_common_voice_3ac15d65a0b2,read,,,"He's a regular and he's connected, but then I expect you knew that much already.",80
grok_fa5c690b0082cd3b,grok,leo,neutral,en,h_voxpopuli_0b23a6d16d3c,formal,,,it allows for the mutual recognition of protection measures which are based on civil law rather than criminal law. i would like to ask my colleagues to support this proposal.,174
grok_80deff158cad84e4,grok,eve,neutral,en,h_common_voice_3a7f8d1ba9de,read,,,The Sleeping Bear Dunes National Lakeshore extends into the northwest portion of the county.,92
grok_43589b56fb1ad610,grok,ara,neutral,en,h_common_voice_8c20f9b5f77e,read,,,They claimed that their method has made it possible to perform between-participant comparisons.,95
grok_656a35e3af98c9d0,grok,rex,neutral,en,h_emilia_c53c5cb7942f,conversational,,,"Which decays, through alpha emission, with a half-life of 1.6,000 years to radon 222",84
grok_70cf1a7ec366eb54,grok,sal,neutral,en,h_voxpopuli_cf0ab320fabd,formal,,,thank you mr president let me first of all thank all the members of parliament that have made interventions,107
grok_9dd6c0be37d4b2ea,grok,leo,neutral,en,h_voxpopuli_30d8270e2969,formal,,,we are disappointed and we regret that decision but the abandonment of paris by the us administration will not mean the end of the agreement.,141
grok_4aabcb15f631c4ec,grok,eve,neutral,en,h_voxpopuli_0b58d9c3abeb,formal,,,our resolution and this is the goal of this debate calls to work closely together to minimise the health risks for staff and learners and to maximise the chances that inperson education and training is safe and can continue.,224
grok_e29d10a26877ea7d,grok,ara,neutral,en,h_emilia_5ffac4c6f617,conversational,,,"There was a movie that came out in the 60s only to be remade 40 years later. And that's why... Put it on the screen, Bruxy. The Denver Broncos are... OCEANS 11!",160
grok_fa9e776030bea5b7,grok,rex,whisper,en,h_common_voice_4f490a5dbf19,read,,,<whisper>Did you really need to clog up that pipe?</whisper>,60
grok_1f6cadc29e967f08,grok,sal,slow,en,h_common_voice_deac252b9301,read,0.8,,My assignment has been completed and submitted.,47
grok_26a6752acf255fe0,grok,leo,neutral,en,h_common_voice_e86de17a88b4,read,,,"Thus, ""Mesopotamia"" required a new writing project for the band.",64
grok_d3b4e4ad0c4eea93,grok,eve,neutral,en,h_common_voice_a85547a61566,read,,,It is based on the height of a man with his arm raised.,55
grok_42bef86f3d87f365,grok,ara,fast,en,h_emilia_e80ae1674c84,conversational,1.3,,And that's why we said that contact of course needed to do zero coming into this with the way that the map VO went down. It just seems like their map pool overall is a little too small coming into these best threes.,215
grok_09c2b8a55d9b3bb2,grok,rex,loud,en,cur_emo_030,emotional,,,"<loud>Three years of saving, and the engine gives out two days after the warranty ends.</loud>",94
grok_72c27bdc327b5982,grok,sal,neutral,en,h_peoples_speech_0e437d6cf9d5,procedural,,,those flowering trees that bloom in the spring the garden club maintains and plants the garden next to the library which has been a place that everybody enjoys during the summer time,182
grok_59b91fc3e58807f5,grok,leo,neutral,en,h_peoples_speech_135adf072055,procedural,,,what epa has done is to make sure that the small businesses are not burdened by the kinds of regulations that don't make sense,126
grok_97cf8a6f4a672b14,grok,eve,neutral,en,h_emilia_d32afd310128,conversational,,,This feature is very useful while writing repeated text in large documents. So we don't need to type the entire text repeatedly. We can simply copy and paste.,158
grok_6bb086f6b6db731b,grok,ara,neutral,en,h_emilia_676c8d67e8f9,conversational,,,That they are undoubtedly far older than this. As to state that they were somehow cut by people with literally no tools to their disposal to us seems laughable.,160
grok_f11b1cae93291888,grok,rex,neutral,en,h_peoples_speech_caf355051387,procedural,,,i'd like to go up to the first item where we had an objective,61
grok_55d1142f8f3f108c,grok,sal,neutral,en,h_voxpopuli_8bd1a6decb20,formal,,,if we do not act now we will not only fail in meeting our climate obligations we will also miss out in reaping the rewards of being leaders of green innovation.,160
